File,aid,Date,2057,2058,2061,2062,2065,2066,2111,2112,2114,2116,2118,2120,2122,2175,2181,2182,2185,2186,2189,2190,2239,2253,2254,2257,2258,2261,2262,2303,2317,2318,2321,2322,2325,2326,2367,2372,2374,2376,2378,2380,2382,2431,2441,2442,2445,2446,2449,2450,2495,2513,2514,2517,2518,2521,2522,2559,3094,3098,3102,3150,3154,3158,3218,3222,3226,3290,3294,3298,3354,3358,3362,3410,3414,3418,3478,3482,3486,3550,3554,3558,4105,4106,4109,4110,4113,4114,4159,4160,4162,4164,4166,4168,4170,4223,4233,4234,4237,4238,4305,4309,4365,4366,4369,4370,4373,4374,4415,5142,5146,5150,5198,5202,5206,5270,5274,5346,5402,5406,5410,6153,6154,6157,6158,6161,6162,6207,6208,6210,6212,6214,6216,6218,6271,6277,6281,6282,6285,6349,6350,6353,6354,6357,6358,6399,6413,6414,6417,6418,6421,6422,6463,6468,6472,6527,6537,6541,6545,6609,6610,6613,6614,6617,6618,6655,7190,7194,7198,7246,7250,7254,7318,7322,7386,7390,7394,7450,7454,7458,7646,7650,7654,18445,18446,18449,18450,18453,18454,18500,18504,18569,18573,18577,18641,18642,18645,18646,18649,18650,18705,18706,18709,18710,18713,18714,18760,18764,18829,18833,18837,18901,18902,18905,18906,18909,18910,19478,19482,19486,19490,19606,19678,19682,19686,19738,19742,19746,19750,19866,19934,19938,19942,19946,20493,20494,20497,20498,20501,20502,20548,20552,20556,20621,20753,20754,20757,20758,20761,20762,21526,21530,21534,21538,21590,21786,21790,21794,21798,22541,22542,22545,22546,22549,22550,22596,22600,22604,22737,22745,22801,22802,22805,22806,22809,22810,22997,23001,23005,23574,23578,23582,23586,23778,23838,23842,23846,24034,24038,24042,34833,34834,34837,34838,34841,34842,34879,34888,34890,34892,34894,34896,34898,34943,34957,34958,34961,34962,34965,34966,35007,35029,35030,35033,35034,35037,35038,35071,35089,35090,35093,35094,35097,35098,35101,35102,35135,35144,35146,35148,35150,35152,35154,35156,35158,35199,35213,35214,35217,35218,35221,35222,35225,35226,35263,35285,35286,35289,35290,35293,35294,35297,35298,35327,35870,35874,35878,35926,35930,35934,35994,35998,36002,36066,36070,36074,36122,36126,36130,36134,36138,36178,36182,36186,36190,36194,36246,36250,36254,36258,36262,36318,36322,36326,36330,36334,36881,36882,36885,36886,36889,36890,36936,36938,36940,36942,36944,36946,36991,37009,37010,37013,37137,37138,37141,37142,37145,37146,37149,37150,37183,37192,37194,37196,37198,37918,37922,37926,37974,37978,37982,38046,38170,38174,38178,38182,38186,38226,38230,38234,38929,38930,38933,38934,38937,38938,38975,38984,38986,38988,38990,38992,38994,39039,39053,39057,39058,39061,39062,39125,39126,39129,39130,39133,39185,39186,39189,39190,39193,39194,39197,39198,39231,39240,39244,39248,39313,39317,39318,39381,39385,39386,39389,39390,39393,39394,39966,39970,39974,40022,40026,40030,40094,40098,40162,40166,40170,40218,40222,40226,40230,40234,40278,40422,40426,40430,51199,51221,51222,51225,51226,51229,51230,51276,51345,51349,51417,51418,51421,51422,51425,51473,51474,51477,51478,51481,51482,51485,51486,51489,51490,51536,51597,51601,51605,51609,51669,51673,51677,51678,51681,51682,51685,51686,52254,52258,52262,52266,52454,52458,52462,52510,52514,52518,52522,52526,52642,52714,52718,52722,53247,53269,53273,53274,53277,53278,53328,53521,53525,53529,53530,53533,53534,53537,53538,54306,54310,54314,54558,54562,54566,54570,54574,55295,55317,55318,55321,55322,55325,55573,55577,55578,55581,55582,55585,55586,55777,56354,56358,56554,56606,56614,56618,56622,56814,57343,63487
_1_km_monthly_VI_Quality_2000061_aid0001,aid0001,2000-03-01 00:00:00+00:00,20652,18199,12754,21289,,,,3225650,,84497,,,,,123172,,27293,7.0,,,,20160,76.0,22641,62.0,,,,4619,3008,3238,4903,,,,18963,11.0,2143,12.0,,,,17985,1.0,5155,9.0,,,,11806,114,7523,76,,,,1577,2127,,3.0,3.0,,8.0,20.0,,156,274,,240,479,,17.0,11.0,,26.0,19.0,,222,296,,316,1064,170,1175,,,,254982,1.0,37785,5.0,,,,,,,,,,7133,41,2899,118,,,,32,65,,17,127,,,,,7,42,,679,537,149,552,,,,20982,,4447,1.0,,,,8.0,2.0,,,23,,29,,,,,1862,13.0,721,14.0,,,,,,,,,,1.0,,2.0,,,,,44,28,,12,82,,,,,,,2.0,13.0,,,,,76693,1451,71282,1195,,,6.0,,8.0,3.0,,780.0,,711.0,,,,6352,23.0,5892,25.0,,,1.0,2.0,,,,89.0,,52.0,2.0,,,2.0,1213,1793,,1.0,3.0,6.0,,,185,231,,,,3.0,2.0,,589.0,35.0,828.0,21.0,,,,,,,38.0,,101.0,,,,,3.0,15.0,,,,,5.0,,44.0,35.0,,14.0,,,,,,,,66.0,7.0,29.0,5.0,,,,,,,26.0,5.0,,,8.0,6.0,,,,,92,152.0,76,111.0,,,,158,,171,,,,,470,,410,,,,,356,5.0,299,4.0,,,,2.0,23.0,196,548,72,491.0,,,,17,,231,,88,,,,,56,,1472,1.0,481,,,,,20.0,2.0,1823,74,836,34.0,,,,19.0,14.0,,,,,,,,4.0,4.0,,2.0,1.0,51,24.0,,,,3.0,,,,,15.0,8.0,,,,145,84.0,,1.0,1.0,2.0,1.0,,,137,,156,,,,,,,,1.0,,261,20.0,137,17.0,,,,,,,,,,,,,,,,,1.0,10,,,,,21,,6.0,,,,,51,,64,5.0,,,,,,,,,,,,,,1.0,,217,6.0,72,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,5166,793,2.0,377,,,,,,,9.0,,23.0,,,3.0,,50.0,,1072,5.0,501,6.0,,,,,,,,,,38.0,,38.0,1.0,,,,13.0,21.0,,,,,,3.0,22.0,24.0,,,1.0,,,333.0,3.0,,,,,,,,7.0,,6.0,,,,,,,,,,,,20.0,,,,,,,12.0,,,,,,,,,,,,,,,897,60
_1_km_monthly_VI_Quality_2000092_aid0001,aid0001,2000-04-01 00:00:00+00:00,33364,7970,23421,4347,,,,3161213,,39047,,,,,274846,1.0,49463,14.0,,,,12139,5.0,11573,2.0,,,,7768,545,4281,586,,,,24878,,2285,5.0,,,,32655,5.0,8612,15.0,,,,7727,56,4287,35,,,,492,670,,53.0,70.0,,153.0,326.0,,31,35,,267,221,,22.0,2.0,,52.0,82.0,,155,91,,418,1245,318,626,,,,252549,2.0,35651,10.0,,,,,,,,,,9865,3,3262,8,,,,80,77,,8,136,,,,,20,41,,807,745,291,192,,,,20075,,5306,2.0,,,,8.0,3.0,,,6,,18,,,,,2179,14.0,1017,3.0,,,,1.0,,,3.0,,,1.0,,8.0,,,,,25,23,,4,57,,,,,,,7.0,1.0,,,,,62691,656,52999,900,,,,,1.0,,,25.0,,18.0,,,,2600,,2118,24.0,,,,,,,,8.0,,1.0,,,,1.0,396,456,,,,1.0,,,87,83,,,,,,,762.0,14.0,816.0,41.0,,,,,,,10.0,,35.0,,,,,2.0,10.0,,,,,1.0,,17.0,40.0,6.0,29.0,,,,,,,,36.0,9.0,32.0,1.0,,,,,,,19.0,2.0,,,14.0,14.0,,,,,59,4.0,38,4.0,,,,200,,137,,,,,260,,312,,,,,114,,120,1.0,,,,6.0,1.0,263,76,168,38.0,,,,20,,306,,75,,,,,36,,1075,,739,1.0,,,,1.0,,680,16,550,15.0,,,,5.0,2.0,,,2.0,,1.0,4.0,,2.0,,,1.0,1.0,23,43.0,,,,3.0,,,,,15.0,6.0,,,,62,24.0,,3.0,,,,,,165,,401,5.0,,,,,,,1.0,,380,3.0,423,6.0,,,,,,,,,,,,23.0,,,,,3.0,49,,,,,16,,8.0,,,,,54,,115,,,,,,,,,,1.0,,6.0,,,,,381,2.0,270,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,7.0,9.0,,,,,,4776,135,,65,,,,,,,,,,,,,,15.0,,268,,140,,,,,,,,,,,6.0,,2.0,,,,,,3.0,,,,,,,10.0,5.0,,,,,,1.0,,,,,,,,,3.0,,2.0,,,,,,,,,2.0,,,2.0,2.0,,,,,,8.0,1.0,,3.0,,,,1.0,,,,3.0,6.0,,,84,63
_1_km_monthly_VI_Quality_2000122_aid0001,aid0001,2000-05-01 00:00:00+00:00,34514,16433,23570,6533,,,,3199501,58.0,75772,29.0,,,,157444,31.0,54480,72.0,,,,8104,33.0,8169,188.0,,,,13358,760,7300,605,,,,63020,18.0,4462,23.0,,,,73887,81.0,15254,93.0,,,,13157,330,4994,467,,,,1096,728,,645.0,984.0,,395.0,927.0,,74,227,,618,431,,195.0,110.0,,574.0,435.0,,628,456,,820,4010,421,1634,,,,234021,20.0,29989,39.0,,,,,,,,,,14527,62,4747,24,,,,296,174,,55,381,,,,,95,97,,1092,1273,234,482,,,,18864,10.0,4046,,,,,7.0,5.0,,,12,,11,,,,,3080,21.0,852,8.0,,,,7.0,,,13.0,4.0,,4.0,,6.0,,,,,98,61,,26,50,,,,,,,21.0,15.0,,,,,24071,295,17688,240,,,,,,,,,,,,,,1065,1.0,872,6.0,,,,,,,,1.0,,,,,,,182,205,,,,,,,69,89,,,,,,,222.0,1.0,132.0,,,,,,,,25.0,,4.0,,,,,5.0,,,,,3.0,1.0,,7.0,14.0,1.0,24.0,,,,,,,,9.0,3.0,18.0,1.0,,,,,,,2.0,2.0,,,8.0,13.0,,,,,81,,100,1.0,,,,1006,2.0,275,,,,,510,5.0,449,6.0,,,,109,1.0,122,32.0,,,,12.0,,586,60,373,38.0,,,,104,,2579,6.0,388,5.0,,,,83,,5165,27.0,1774,55.0,,,,5.0,,2188,151,1525,245.0,,,,3.0,4.0,,11.0,11.0,,19.0,30.0,,8.0,25.0,,1.0,1.0,84,43.0,,,6.0,16.0,16.0,,1.0,2.0,203.0,101.0,,,1.0,308,246.0,,1.0,,4.0,,,,274,1.0,602,4.0,,,,,,,1.0,,1263,7.0,815,13.0,,,,1.0,,,,,,,2.0,39.0,,,,,23.0,54,,,,,15,,6.0,,,,,80,,171,,,,,1.0,,,,,4.0,,2.0,,,2.0,,819,13.0,430,2.0,,,,,,,,,,,1.0,,5.0,,,,2.0,,,,6.0,,,,,,,,,17.0,16.0,,,,,,4946,32,,31,,,,,,,,,,,,,,4.0,,68,,41,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,7.0,3.0,,,,,,2.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,6.0,,,,,,,,,,3.0,,,,,,,,,6.0,,,28,61
_1_km_monthly_VI_Quality_2000153_aid0001,aid0001,2000-06-01 00:00:00+00:00,20392,57689,13726,26778,,,,1630627,3814.0,286872,5080.0,,,,642110,1369.0,130936,4228.0,,,,23743,318.0,14246,1280.0,,,,12743,645,8167,638,,,,154209,1443.0,43192,1497.0,,,,262399,3219.0,84090,4628.0,,,,92649,4431,25711,5190,,,,7789,4398,,10673.0,18095.0,,8195.0,10748.0,,687,1845,,448,514,,7449.0,2966.0,,14732.0,8716.0,,9906,7211,,375,18168,315,8405,,,,134473,252.0,73239,711.0,,,,,,,,,,34786,290,16041,386,,,,1862,1279,,864,2893,,,,,647,586,,752,3386,356,1588,,,,8473,20.0,5114,17.0,,,,4.0,9.0,,,15,,52,,,,,5118,106.0,1256,17.0,,,,2.0,,,13.0,4.0,,8.0,,12.0,,,,,429,339,,86,168,,,,,,,125.0,76.0,,,,,8299,217,9248,152,,,,,,,,10.0,,1.0,,,,810,,907,,,,,,,,,4.0,,,,,,,184,162,,,,,,,29,102,,,,,,,8.0,5.0,9.0,3.0,,,,,,,6.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,78,11.0,,,,3956,33.0,1509,49.0,,,,2935,67.0,1598,205.0,,,,568,38.0,822,570.0,,,,,1.0,473,121,502,119.0,,,,552,5.0,15786,250.0,3436,171.0,,,,452,6.0,36039,1041.0,12573,1731.0,,,,71.0,2.0,18533,3218,9523,5034.0,,,,3.0,4.0,,145.0,186.0,,207.0,454.0,,58.0,465.0,,1.0,1.0,102,111.0,,,33.0,966.0,420.0,,,50.0,4371.0,2873.0,,,9.0,5689,4888.0,,17.0,3.0,15.0,4.0,,,1015,7.0,1024,56.0,,,,,,,1.0,,5276,70.0,2266,141.0,,,,22.0,1.0,9.0,1.0,2.0,1.0,,36.0,148.0,,,,,226.0,325,,,,,20,,16.0,3.0,,,,170,,199,8.0,,,,,,,,,3.0,,,,,,,1351,27.0,635,16.0,,,,,,,1.0,,,,3.0,,15.0,,,,2.0,1.0,,4.0,16.0,,,,,,,,,56.0,50.0,,,,,,5006,7,,19,,,,,,,,,,,,,,2.0,,36,,25,2.0,,,,,,,,,,5.0,,2.0,,,,,1.0,1.0,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,103,60
_1_km_monthly_VI_Quality_2000183_aid0001,aid0001,2000-07-01 00:00:00+00:00,8038,119903,5208,48041,,,,1187848,3634.0,157204,9518.0,,,,368724,2625.0,112938,9090.0,,,,22638,610.0,7828,1538.0,,,,17088,1407,13427,516,,,,288207,1394.0,32997,3059.0,,,,522487,8395.0,97857,9456.0,,,,193149,16815,45302,11163,,,,16358,10359,,21691.0,20194.0,,19409.0,27463.0,,1399,1839,,588,491,,13527.0,4231.0,,34490.0,20399.0,,27289,12921,,309,32172,443,14728,,,,103539,283.0,45744,1291.0,,,,,,,,,,45811,244,12785,384,,,,3325,1966,,1770,3324,,,,,1029,724,,1099,5921,458,2444,,,,6124,37.0,2981,33.0,,,,1.0,,,,22,,32,,,,,4900,126.0,807,14.0,,,,11.0,9.0,,18.0,9.0,,40.0,,37.0,,,,,770,364,,169,185,,,,,,,218.0,54.0,,,,,5025,279,1927,229,,,,,,,,36.0,,50.0,,,,1370,1.0,415,1.0,,,,,,,,17.0,,24.0,,,,,59,37,,,2.0,1.0,,,68,9,,,,,,,1.0,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,2.0,84,31.0,,,,5066,27.0,1810,157.0,,,,7983,132.0,3083,302.0,,,,1212,71.0,714,240.0,,,,7.0,1.0,796,371,684,417.0,,,,672,2.0,19710,283.0,3570,658.0,,,,1492,21.0,68838,2722.0,20523,4193.0,,,,194.0,11.0,48905,10149,22075,14793.0,,,,4.0,23.0,,342.0,358.0,,822.0,743.0,,225.0,250.0,,,2.0,162,218.0,,2.0,58.0,2542.0,1135.0,,5.0,158.0,11694.0,7779.0,,4.0,49.0,17311,12577.0,,15.0,,30.0,8.0,,,1243,9.0,1239,82.0,,,,,,,5.0,,6436,118.0,3127,232.0,,,,15.0,,9.0,1.0,,,,54.0,121.0,,,,2.0,444.0,461,,,2.0,1.0,42,,22.0,,,,,150,1.0,213,6.0,,,,,,,,,1.0,,2.0,,,4.0,,1425,64.0,722,21.0,,,,,2.0,3.0,2.0,,,,9.0,,18.0,,,,2.0,,,4.0,26.0,,,,,,,,,109.0,49.0,,,,,,5013,22,,7,,,,,,,3.0,,,,,1.0,,6.0,,60,,23,2.0,,,,,,,,,1.0,9.0,,1.0,,,,,,1.0,,,,,,,2.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10,70
_1_km_monthly_VI_Quality_2000214_aid0001,aid0001,2000-08-01 00:00:00+00:00,5995,138791,7746,62245,,,,1098672,3650.0,180093,3244.0,,,,337736,1275.0,150692,1537.0,,,,13598,394.0,12064,461.0,,,,11396,716,9486,527,,,,329831,920.0,36211,481.0,,,,564051,5344.0,143284,4036.0,,,,147786,9323,53314,8782,,,,18100,9002,,6734.0,6915.0,,8415.0,15251.0,,920,1621,,461,219,,6163.0,1464.0,,25176.0,15783.0,,23727,16790,,202,35046,200,19550,,,,94972,503.0,46642,889.0,,,,,,,,,,42028,237,14604,263,,,,2800,1265,,846,1916,,,,,764,588,,1127,6294,236,3498,,,,6218,29.0,2111,6.0,,,,10.0,1.0,,,26,,19,,,,,3510,83.0,800,15.0,,,,7.0,2.0,,14.0,,,32.0,,11.0,,,,,976,300,,119,158,,,,,,,179.0,61.0,,1.0,,,4564,406,3234,301,,,,,,,,78.0,,46.0,,,,1201,,1218,1.0,,,,,2.0,,,78.0,,22.0,,,,,59,196,,,1.0,5.0,,,46,58,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,10.0,65,10.0,,,,8377,41.0,948,44.0,,,,10322,152.0,3305,143.0,,,,1454,72.0,1166,155.0,,,,13.0,,652,634,434,443.0,,,,1208,1.0,28834,331.0,1745,141.0,,,,2085,30.0,100647,2764.0,22549,2120.0,,,,188.0,8.0,60800,9140,30418,10781.0,,,,18.0,21.0,,390.0,118.0,,916.0,548.0,,239.0,309.0,,1.0,2.0,391,187.0,,1.0,57.0,1982.0,387.0,,4.0,164.0,12100.0,5643.0,,4.0,36.0,18910,15479.0,,14.0,,4.0,,,,2001,7.0,1352,23.0,,,,,,,4.0,,8470,168.0,3725,181.0,,,,36.0,,1.0,,1.0,4.0,,66.0,77.0,,,1.0,,509.0,417,,,3.0,,120,,19.0,,,,,256,,250,,,,,,,,,,2.0,,,,,18.0,2.0,2102,50.0,699,7.0,,,,,5.0,,2.0,,,,17.0,,31.0,,,,5.0,1.0,,13.0,10.0,,,,,,,,,152.0,73.0,,,,,,4862,20,,8,,,,,,,9.0,,6.0,,,1.0,,6.0,1.0,68,,59,,,,,,,,1.0,1.0,,20.0,,2.0,,,,,1.0,,,1.0,,,,,10.0,13.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,33,60
_1_km_monthly_VI_Quality_2000245_aid0001,aid0001,2000-09-01 00:00:00+00:00,8248,17688,9649,10018,,,,2525925,191.0,231268,128.0,,,,376637,60.0,120567,37.0,,,,8439,15.0,15773,63.0,,,,7502,55,6514,110,,,,141887,58.0,26376,28.0,,,,150589,219.0,50918,78.0,,,,25598,382,15151,529,,,,1689,849,,275.0,970.0,,279.0,478.0,,27,302,,63,46,,233.0,102.0,,944.0,506.0,,920,1026,,292,5032,478,2482,,,,206660,138.0,63251,195.0,,,,,,,,,,20066,104,6308,70,,,,508,270,,162,454,,,,,114,145,,1726,1278,1217,858,,,,15189,6.0,4951,5.0,,,,23.0,4.0,,,29,,34,,,,,2048,3.0,526,1.0,,,,7.0,2.0,,13.0,,,3.0,,7.0,,,,,194,90,,44,77,,,,,,,17.0,12.0,,,,,5118,614,6469,600,,,,,,,,79.0,,32.0,,,,1520,,2033,13.0,,,,,3.0,,,68.0,,13.0,,,,,60,156,,,,2.0,,,28,55,,,,1.0,,,,1.0,3.0,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,30,1.0,,,,5127,4.0,1372,,,,,1864,15.0,1207,8.0,,,,218,11.0,341,3.0,,,,7.0,,286,31,177,23.0,,,,525,,10213,10.0,2150,6.0,,,,272,,17029,97.0,6704,59.0,,,,10.0,,6136,437,4435,609.0,,,,1.0,,,24.0,9.0,,61.0,20.0,,2.0,14.0,,,,30,12.0,,,7.0,54.0,14.0,,,4.0,545.0,185.0,,,1.0,916,860.0,,4.0,,9.0,,,,1126,10.0,653,14.0,,,,,,,1.0,,2783,28.0,1176,22.0,,,,6.0,,8.0,,,,,24.0,31.0,,,,,86.0,94,,,,,57,,27.0,,,,,256,1.0,142,,,,,,,,,,1.0,,2.0,,,4.0,,830,4.0,267,1.0,,,,,,,1.0,,,,10.0,,17.0,,,,1.0,,,1.0,3.0,,,,,,,,,23.0,10.0,,,,,,4907,45,,34,,,,,,,4.0,,7.0,,,5.0,,6.0,,97,,74,,,,,,,,1.0,,,40.0,,16.0,,,,,,,,,,,,,3.0,,,,,1.0,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,753,62
_1_km_monthly_VI_Quality_2000275_aid0001,aid0001,2000-10-01 00:00:00+00:00,9860,6827,10922,4908,,,,3395793,9.0,134239,1.0,,,,119602,13.0,20776,3.0,,,,4080,1.0,5480,11.0,,,,6479,617,5953,664,,,,31332,4.0,5736,1.0,,,,20059,5.0,7300,3.0,,,,3398,49,1885,33,,,,318,606,,29.0,68.0,,18.0,39.0,,21,81,,168,222,,10.0,12.0,,69.0,16.0,,73,60,,180,2393,138,1454,,,,256536,7.0,39279,46.0,,,,,,,,,,6254,22,1971,14,,,,180,140,,68,253,,,,,33,44,,1201,733,300,325,,,,20088,,4494,2.0,,,,11.0,5.0,,,27,,35,,,,,1297,2.0,721,,,,,12.0,,,1.0,,,4.0,,5.0,,,,,53,26,,3,45,,,,,,,2.0,,,,,,6596,1917,8153,1525,,,,,,,,26.0,,43.0,,,,4283,1.0,2863,12.0,,,,,,,,83.0,,47.0,3.0,,,,211,465,,,1.0,3.0,,,114,169,,,,6.0,6.0,,12.0,9.0,68.0,4.0,,,,,,,6.0,,18.0,,,,,,2.0,,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,165,20.0,91,15.0,,,,1215,,299,1.0,,,,431,,182,1.0,,,,183,,185,,,,,4.0,4.0,334,130,200,35.0,,,,78,,2472,,431,1.0,,,,32,,2790,7.0,559,2.0,,,,2.0,,976,34,451,21.0,,,,11.0,6.0,,1.0,1.0,,,2.0,,,6.0,,1.0,2.0,36,9.0,,,,1.0,,,,,35.0,10.0,,,,85,56.0,,4.0,,5.0,,,,379,4.0,404,,,,,,,,1.0,,1026,11.0,489,1.0,,,,2.0,,1.0,,,,,6.0,15.0,,,,,17.0,35,,,,,38,,17.0,,,,,102,,109,,,,,,,,,,1.0,,4.0,,,,,427,4.0,209,1.0,,,,,,,1.0,,,,7.0,,,,,,1.0,,,,3.0,,,,,,,,,3.0,4.0,,,,,,5237,570,,126,,,,,,,10.0,,5.0,,,2.0,,34.0,1.0,1342,,280,,,,,,,,,,,268.0,,71.0,,,,,9.0,4.0,,,,,,,39.0,6.0,,,,3.0,,26.0,,,,,,,,,1.0,,3.0,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,1409,65
_1_km_monthly_VI_Quality_2000306_aid0001,aid0001,2000-11-01 00:00:00+00:00,3587,10081,5696,8526,15.0,128.0,,3260873,19.0,173752,1.0,74.0,,,128410,29.0,41366,4.0,21.0,,,2952,10.0,8304,37.0,,,,6272,1245,5229,2140,2.0,108.0,,38427,3.0,8096,,14.0,1.0,,26147,6.0,15544,6.0,12.0,,,4746,46,4880,68,,,,488,1065,8.0,121.0,24.0,,93.0,163.0,1.0,48,106,1.0,335,507,,32.0,11.0,,96.0,112.0,3.0,110,124,,150,1862,100,927,,2.0,,245194,6.0,50768,61.0,,,,1.0,,,,,,8165,7,3280,16,2.0,,,124,76,2.0,114,430,,,,,25,43,,473,1347,85,466,,,,19428,,4234,7.0,,,,8.0,5.0,,,41,,41,,,,,1309,25.0,561,5.0,,,,,,,5.0,4.0,,11.0,,29.0,,,,,146,48,1.0,22,113,,,,2.0,,,28.0,26.0,,,7.0,,8271,5175,11031,4046,205.0,1.0,,,,,,44.0,,59.0,,3.0,,7331,18.0,7424,47.0,19.0,,,,,,,98.0,,109.0,4.0,,,,308,896,2.0,,,4.0,,,238,351,,,,2.0,6.0,,171.0,15.0,438.0,26.0,7.0,,,,,,75.0,,123.0,,,,,5.0,21.0,,,,,6.0,,,4.0,,4.0,,,,,,,,1.0,1.0,10.0,,,,,,,,1.0,,,,1.0,,,,,,274,55.0,211,66.0,,,,2947,2.0,679,,,,,1188,2.0,718,2.0,,,,375,4.0,349,3.0,,,,5.0,4.0,847,278,357,145.0,1.0,,,178,,3742,4.0,496,,,,,68,,5070,13.0,1072,4.0,,,,11.0,,1928,54,941,44.0,,,,15.0,32.0,,17.0,,,7.0,4.0,,13.0,10.0,,3.0,3.0,77,38.0,,,,20.0,3.0,,,,87.0,20.0,,,,165,96.0,,2.0,,,,,,424,,383,2.0,,,,,,,1.0,,1012,1.0,469,4.0,,,,,,,,,,,1.0,17.0,,,,,7.0,22,,,,,29,,6.0,,,,,119,,121,,,,,,,,,,,,8.0,,,,,797,18.0,212,3.0,,,,,,,,,,,7.0,,2.0,,,,,1.0,,,2.0,,,,,,,,,21.0,19.0,,,,,,5859,1194,,569,,5.0,,,,,13.0,,4.0,,,,,85.0,1.0,3019,3.0,1043,3.0,,,,,,,,,,322.0,,123.0,,,,,24.0,18.0,,,,,,2.0,67.0,30.0,,,5.0,2.0,,126.0,,6.0,,,,,,1.0,9.0,,2.0,,,,,1.0,,,,,,,24.0,,,,,,,,,,,,,,,,,,1.0,,,,1559,70
