File,aid,Date,0,1,2,3
_1_km_monthly_pixel_reliability_2000061_aid0001,aid0001,2000-03-01 00:00:00+00:00,3533934,414960,166498,65539
_1_km_monthly_pixel_reliability_2000092_aid0001,aid0001,2000-04-01 00:00:00+00:00,3468038,568690,122821,22931
_1_km_monthly_pixel_reliability_2000122_aid0001,aid0001,2000-05-01 00:00:00+00:00,3490301,601378,44294,46391
_1_km_monthly_pixel_reliability_2000153_aid0001,aid0001,2000-06-01 00:00:00+00:00,1907778,1939962,19401,315091
_1_km_monthly_pixel_reliability_2000183_aid0001,aid0001,2000-07-01 00:00:00+00:00,1367501,2160825,9000,644980
_1_km_monthly_pixel_reliability_2000214_aid0001,aid0001,2000-08-01 00:00:00+00:00,1277915,2331229,10644,562653
_1_km_monthly_pixel_reliability_2000245_aid0001,aid0001,2000-09-01 00:00:00+00:00,2864884,1244532,15673,56587
_1_km_monthly_pixel_reliability_2000275_aid0001,aid0001,2000-10-01 00:00:00+00:00,3727437,402322,24910,25957
_1_km_monthly_pixel_reliability_2000306_aid0001,aid0001,2000-11-01 00:00:00+00:00,3608234,485128,41814,44591
_1_km_monthly_pixel_reliability_2000336_aid0001,aid0001,2000-12-01 00:00:00+00:00,3545736,440192,117104,77102
_1_km_monthly_pixel_reliability_2001001_aid0001,aid0001,2001-01-01 00:00:00+00:00,3051492,893318,131422,102609
_1_km_monthly_pixel_reliability_2001032_aid0001,aid0001,2001-02-01 00:00:00+00:00,3581836,395144,125958,78036
_1_km_monthly_pixel_reliability_2001060_aid0001,aid0001,2001-03-01 00:00:00+00:00,3261138,723067,148018,49479
_1_km_monthly_pixel_reliability_2001091_aid0001,aid0001,2001-04-01 00:00:00+00:00,3394163,629912,130559,27682
_1_km_monthly_pixel_reliability_2001121_aid0001,aid0001,2001-05-01 00:00:00+00:00,3589760,512506,51364,28771
_1_km_monthly_pixel_reliability_2001152_aid0001,aid0001,2001-06-01 00:00:00+00:00,2633473,1051082,29787,466072
_1_km_monthly_pixel_reliability_2001182_aid0001,aid0001,2001-07-01 00:00:00+00:00,774911,1458004,13060,1935845
_1_km_monthly_pixel_reliability_2001213_aid0001,aid0001,2001-08-01 00:00:00+00:00,1535249,2105379,13524,527860
_1_km_monthly_pixel_reliability_2001244_aid0001,aid0001,2001-09-01 00:00:00+00:00,2854387,1175525,19636,132296
_1_km_monthly_pixel_reliability_2001274_aid0001,aid0001,2001-10-01 00:00:00+00:00,3567146,536687,41609,34335
_1_km_monthly_pixel_reliability_2001305_aid0001,aid0001,2001-11-01 00:00:00+00:00,3286576,676003,117982,97269
_1_km_monthly_pixel_reliability_2001335_aid0001,aid0001,2001-12-01 00:00:00+00:00,3496533,507395,110729,65609
_1_km_monthly_pixel_reliability_2002001_aid0001,aid0001,2002-01-01 00:00:00+00:00,3191196,733295,160550,92878
_1_km_monthly_pixel_reliability_2002032_aid0001,aid0001,2002-02-01 00:00:00+00:00,3327396,565158,205067,81782
_1_km_monthly_pixel_reliability_2002060_aid0001,aid0001,2002-03-01 00:00:00+00:00,3452568,491585,201290,35672
_1_km_monthly_pixel_reliability_2002091_aid0001,aid0001,2002-04-01 00:00:00+00:00,3558373,432790,159386,31789
_1_km_monthly_pixel_reliability_2002121_aid0001,aid0001,2002-05-01 00:00:00+00:00,3331813,735574,84054,30984
_1_km_monthly_pixel_reliability_2002152_aid0001,aid0001,2002-06-01 00:00:00+00:00,2277158,1601026,31916,272124
_1_km_monthly_pixel_reliability_2002182_aid0001,aid0001,2002-07-01 00:00:00+00:00,1190940,2171586,12357,807289
_1_km_monthly_pixel_reliability_2002213_aid0001,aid0001,2002-08-01 00:00:00+00:00,1288649,2287159,15069,591150
_1_km_monthly_pixel_reliability_2002244_aid0001,aid0001,2002-09-01 00:00:00+00:00,3254288,862067,27218,37910
_1_km_monthly_pixel_reliability_2002274_aid0001,aid0001,2002-10-01 00:00:00+00:00,3410113,668136,46031,55451
_1_km_monthly_pixel_reliability_2002305_aid0001,aid0001,2002-11-01 00:00:00+00:00,3471159,606692,51718,49878
_1_km_monthly_pixel_reliability_2002335_aid0001,aid0001,2002-12-01 00:00:00+00:00,3448075,602941,49049,80586
_1_km_monthly_pixel_reliability_2003001_aid0001,aid0001,2003-01-01 00:00:00+00:00,2908016,1046728,65671,159635
_1_km_monthly_pixel_reliability_2003032_aid0001,aid0001,2003-02-01 00:00:00+00:00,3598715,277836,172296,111931
_1_km_monthly_pixel_reliability_2003060_aid0001,aid0001,2003-03-01 00:00:00+00:00,3450904,479614,168529,82677
_1_km_monthly_pixel_reliability_2003091_aid0001,aid0001,2003-04-01 00:00:00+00:00,3422838,563952,153173,42344
_1_km_monthly_pixel_reliability_2003121_aid0001,aid0001,2003-05-01 00:00:00+00:00,3323870,724306,102480,31710
_1_km_monthly_pixel_reliability_2003152_aid0001,aid0001,2003-06-01 00:00:00+00:00,2280611,1270026,34604,596961
_1_km_monthly_pixel_reliability_2003182_aid0001,aid0001,2003-07-01 00:00:00+00:00,969424,1824818,15160,1372794
_1_km_monthly_pixel_reliability_2003213_aid0001,aid0001,2003-08-01 00:00:00+00:00,960276,2293561,10747,917112
_1_km_monthly_pixel_reliability_2003244_aid0001,aid0001,2003-09-01 00:00:00+00:00,2291356,1697258,19084,172319
_1_km_monthly_pixel_reliability_2003274_aid0001,aid0001,2003-10-01 00:00:00+00:00,3118716,976456,44928,34557
_1_km_monthly_pixel_reliability_2003305_aid0001,aid0001,2003-11-01 00:00:00+00:00,3454236,629846,49312,41407
_1_km_monthly_pixel_reliability_2003335_aid0001,aid0001,2003-12-01 00:00:00+00:00,3475750,521045,72176,108234
_1_km_monthly_pixel_reliability_2004001_aid0001,aid0001,2004-01-01 00:00:00+00:00,3068542,824169,152932,127912
_1_km_monthly_pixel_reliability_2004032_aid0001,aid0001,2004-02-01 00:00:00+00:00,3457166,464808,174703,79573
_1_km_monthly_pixel_reliability_2004061_aid0001,aid0001,2004-03-01 00:00:00+00:00,3568287,440086,137203,33486
_1_km_monthly_pixel_reliability_2004092_aid0001,aid0001,2004-04-01 00:00:00+00:00,3623018,408677,119059,30270
_1_km_monthly_pixel_reliability_2004122_aid0001,aid0001,2004-05-01 00:00:00+00:00,3384491,679923,73318,44459
_1_km_monthly_pixel_reliability_2004153_aid0001,aid0001,2004-06-01 00:00:00+00:00,1963464,1979352,35496,203945
_1_km_monthly_pixel_reliability_2004183_aid0001,aid0001,2004-07-01 00:00:00+00:00,1369011,1780817,18990,1013396
_1_km_monthly_pixel_reliability_2004214_aid0001,aid0001,2004-08-01 00:00:00+00:00,1894869,1794806,14795,477712
_1_km_monthly_pixel_reliability_2004245_aid0001,aid0001,2004-09-01 00:00:00+00:00,2756324,1342468,19504,62686
_1_km_monthly_pixel_reliability_2004275_aid0001,aid0001,2004-10-01 00:00:00+00:00,3414166,647612,66889,51960
_1_km_monthly_pixel_reliability_2004306_aid0001,aid0001,2004-11-01 00:00:00+00:00,3354934,691957,78023,54227
_1_km_monthly_pixel_reliability_2004336_aid0001,aid0001,2004-12-01 00:00:00+00:00,3315782,702519,70037,92121
_1_km_monthly_pixel_reliability_2005001_aid0001,aid0001,2005-01-01 00:00:00+00:00,3055676,808276,177706,134446
_1_km_monthly_pixel_reliability_2005032_aid0001,aid0001,2005-02-01 00:00:00+00:00,3453411,411905,136246,179576
_1_km_monthly_pixel_reliability_2005060_aid0001,aid0001,2005-03-01 00:00:00+00:00,3434735,488022,192541,65585
_1_km_monthly_pixel_reliability_2005091_aid0001,aid0001,2005-04-01 00:00:00+00:00,3168056,803216,170462,40542
_1_km_monthly_pixel_reliability_2005121_aid0001,aid0001,2005-05-01 00:00:00+00:00,3481878,533342,101650,65613
_1_km_monthly_pixel_reliability_2005152_aid0001,aid0001,2005-06-01 00:00:00+00:00,2655153,1149786,60139,317359
_1_km_monthly_pixel_reliability_2005182_aid0001,aid0001,2005-07-01 00:00:00+00:00,870868,1837535,21516,1452229
_1_km_monthly_pixel_reliability_2005213_aid0001,aid0001,2005-08-01 00:00:00+00:00,1997702,1801726,15664,366756
_1_km_monthly_pixel_reliability_2005244_aid0001,aid0001,2005-09-01 00:00:00+00:00,2543123,1586677,17263,34023
_1_km_monthly_pixel_reliability_2005274_aid0001,aid0001,2005-10-01 00:00:00+00:00,2836833,1255658,27677,58553
_1_km_monthly_pixel_reliability_2005305_aid0001,aid0001,2005-11-01 00:00:00+00:00,3547564,509307,64484,56539
_1_km_monthly_pixel_reliability_2005335_aid0001,aid0001,2005-12-01 00:00:00+00:00,3479974,556592,63345,79368
_1_km_monthly_pixel_reliability_2006001_aid0001,aid0001,2006-01-01 00:00:00+00:00,3285965,605976,146912,139305
_1_km_monthly_pixel_reliability_2006032_aid0001,aid0001,2006-02-01 00:00:00+00:00,3426289,501804,156852,95075
_1_km_monthly_pixel_reliability_2006060_aid0001,aid0001,2006-03-01 00:00:00+00:00,3437421,507096,177217,59448
_1_km_monthly_pixel_reliability_2006091_aid0001,aid0001,2006-04-01 00:00:00+00:00,3302024,694397,163676,22285
_1_km_monthly_pixel_reliability_2006121_aid0001,aid0001,2006-05-01 00:00:00+00:00,3434259,655754,50971,41402
_1_km_monthly_pixel_reliability_2006152_aid0001,aid0001,2006-06-01 00:00:00+00:00,2739324,1151760,24449,266796
_1_km_monthly_pixel_reliability_2006182_aid0001,aid0001,2006-07-01 00:00:00+00:00,989484,1661508,12548,1518768
_1_km_monthly_pixel_reliability_2006213_aid0001,aid0001,2006-08-01 00:00:00+00:00,1713301,2094697,10852,363397
_1_km_monthly_pixel_reliability_2006244_aid0001,aid0001,2006-09-01 00:00:00+00:00,2571139,1553981,15452,37396
_1_km_monthly_pixel_reliability_2006274_aid0001,aid0001,2006-10-01 00:00:00+00:00,3421458,700646,24403,28463
_1_km_monthly_pixel_reliability_2006305_aid0001,aid0001,2006-11-01 00:00:00+00:00,2750584,1306415,58331,60094
_1_km_monthly_pixel_reliability_2006335_aid0001,aid0001,2006-12-01 00:00:00+00:00,3037941,915032,138875,83569
