File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A3_061__1_km_monthly_NDVI_doy2000061000000_aid0001,_1_km_monthly_NDVI,aid0001,2000-03-01,4180931.0,-0.2,1.0,"(-0.2,1.0)",0.3467034,0.1877093,0.0352348,0.4642,0.8075,0.3329,-0.108,0.2353
MOD13A3_061__1_km_monthly_NDVI_doy2000092000000_aid0001,_1_km_monthly_NDVI,aid0001,2000-04-01,4182480.0,-0.1998,1.0,"(-0.1998,1.0)",0.315198,0.1794084,0.0321874,0.414,0.7209,0.2826,-0.0975,0.2094
MOD13A3_061__1_km_monthly_NDVI_doy2000122000000_aid0001,_1_km_monthly_NDVI,aid0001,2000-05-01,4182364.0,-0.2,1.0,"(-0.2,1.0)",0.3137629,0.1903401,0.0362294,0.4055,0.7214,0.2663,-0.121,0.1949
MOD13A3_061__1_km_monthly_NDVI_doy2000153000000_aid0001,_1_km_monthly_NDVI,aid0001,2000-06-01,4182232.0,-0.1999,1.0,"(-0.1999,1.0)",0.3773866,0.2148562,0.0461632,0.5182,0.968,0.3507,-0.1999,0.2181
MOD13A3_061__1_km_monthly_NDVI_doy2000183000000_aid0001,_1_km_monthly_NDVI,aid0001,2000-07-01,4182306.0,-0.2,1.0,"(-0.2,1.0)",0.4528185,0.2178515,0.0474593,0.6085,1.0,0.4563,-0.1397,0.3092
MOD13A3_061__1_km_monthly_NDVI_doy2000214000000_aid0001,_1_km_monthly_NDVI,aid0001,2000-08-01,4182441.0,-0.2,1.0,"(-0.2,1.0)",0.5257822,0.2191028,0.0480061,0.6884,1.0,0.562,-0.0241,0.4034
MOD13A3_061__1_km_monthly_NDVI_doy2000245000000_aid0001,_1_km_monthly_NDVI,aid0001,2000-09-01,4181676.0,-0.2,1.0,"(-0.2,1.0)",0.5447267,0.2165179,0.04688,0.6994,1.0,0.5843,0.0399,0.4356
MOD13A3_061__1_km_monthly_NDVI_doy2000275000000_aid0001,_1_km_monthly_NDVI,aid0001,2000-10-01,4180626.0,-0.2,1.0,"(-0.2,1.0)",0.5052846,0.2236453,0.0500172,0.6694,1.0,0.5335,-0.1031,0.3604
MOD13A3_061__1_km_monthly_NDVI_doy2000306000000_aid0001,_1_km_monthly_NDVI,aid0001,2000-11-01,4179767.0,-0.2,1.0,"(-0.2,1.0)",0.4293167,0.2165614,0.0468988,0.5703,1.0,0.418,-0.1532,0.2809
MOD13A3_061__1_km_monthly_NDVI_doy2000336000000_aid0001,_1_km_monthly_NDVI,aid0001,2000-12-01,4180134.0,-0.2,1.0,"(-0.2,1.0)",0.3966009,0.2066864,0.0427193,0.5136,0.8676,0.3763,-0.0764,0.2776
MOD13A3_061__1_km_monthly_NDVI_doy2001001000000_aid0001,_1_km_monthly_NDVI,aid0001,2001-01-01,4178841.0,-0.2,1.0,"(-0.2,1.0)",0.3966511,0.2037367,0.0415086,0.5272,0.9014,0.389,-0.0965,0.2777
MOD13A3_061__1_km_monthly_NDVI_doy2001032000000_aid0001,_1_km_monthly_NDVI,aid0001,2001-02-01,4180974.0,-0.1998,1.0,"(-0.1998,1.0)",0.3688949,0.1960076,0.038419,0.4988,0.8738,0.3465,-0.1262,0.2488
MOD13A3_061__1_km_monthly_NDVI_doy2001060000000_aid0001,_1_km_monthly_NDVI,aid0001,2001-03-01,4181702.0,-0.2,0.9973,"(-0.2,0.9973)",0.3363764,0.185617,0.0344537,0.4433,0.7694,0.3107,-0.1002,0.2259
MOD13A3_061__1_km_monthly_NDVI_doy2001091000000_aid0001,_1_km_monthly_NDVI,aid0001,2001-04-01,4182316.0,-0.2,1.0,"(-0.2,1.0)",0.3138126,0.1814994,0.032942,0.4109,0.719,0.2794,-0.1026,0.2055
MOD13A3_061__1_km_monthly_NDVI_doy2001121000000_aid0001,_1_km_monthly_NDVI,aid0001,2001-05-01,4182401.0,-0.2,1.0,"(-0.2,1.0)",0.3056502,0.1912505,0.0365768,0.3966,0.7126,0.2528,-0.1301,0.1859
MOD13A3_061__1_km_monthly_NDVI_doy2001152000000_aid0001,_1_km_monthly_NDVI,aid0001,2001-06-01,4180414.0,-0.2,1.0,"(-0.2,1.0)",0.3154904,0.194332,0.0377649,0.4133,0.7464,0.2659,-0.1419,0.1912
MOD13A3_061__1_km_monthly_NDVI_doy2001182000000_aid0001,_1_km_monthly_NDVI,aid0001,2001-07-01,4181820.0,-0.2,1.0,"(-0.2,1.0)",0.4623702,0.2328057,0.0541985,0.6421,1.0,0.4716,-0.2,0.2799
MOD13A3_061__1_km_monthly_NDVI_doy2001213000000_aid0001,_1_km_monthly_NDVI,aid0001,2001-08-01,4182012.0,-0.2,1.0,"(-0.2,1.0)",0.5479846,0.2176257,0.0473609,0.7088,1.0,0.5924,-0.0102,0.4212
MOD13A3_061__1_km_monthly_NDVI_doy2001244000000_aid0001,_1_km_monthly_NDVI,aid0001,2001-09-01,4181844.0,-0.2,1.0,"(-0.2,1.0)",0.5371308,0.2182098,0.0476155,0.6987,1.0,0.5801,-0.0353,0.4051
MOD13A3_061__1_km_monthly_NDVI_doy2001274000000_aid0001,_1_km_monthly_NDVI,aid0001,2001-10-01,4179777.0,-0.2,1.0,"(-0.2,1.0)",0.5104458,0.2280619,0.0520122,0.6845,1.0,0.5395,-0.1372,0.3558
