k,mi_mean,mi_sd,n_pos,n_neg_min,mi_seed42,mi_seed43,mi_seed44,mi_seed45,mi_seed46,is_k_star
1,0.001889199242309486,4.93596346053723e-05,540823,540823,0.0019165074601871224,0.0018380572547386231,0.0019393856131697529,0.0018340804165105362,0.001917965466941396,False
2,0.0005682540845274476,1.6173123290042203e-05,540745,540745,0.0005655195925624024,0.0005636682435773144,0.0005501638996301961,0.0005674007615216747,0.0005945179253456501,False
3,0.0008252815501369693,3.405276145368099e-05,540507,540507,0.0008160168805587675,0.0007935853339922638,0.0007952545286392942,0.0008528189176577605,0.0008687320898367601,False
4,0.0030762388809424447,5.163504462931558e-05,539210,539210,0.0030884947022279813,0.0030763379763517756,0.0029931754341346595,0.0030879805217350897,0.0031352057702627167,False
5,0.0065686155861765985,7.636129500770033e-05,536495,536495,0.006592527492670697,0.00663102375817709,0.006449893938256318,0.00663084826070974,0.006538784481069149,False
6,0.009497142597816402,9.017366553570979e-05,535276,535276,0.009409984132980345,0.00950814079604835,0.009550953738471438,0.009612389781815195,0.009404244539766682,False
7,0.01114105578782135,6.645498931589292e-05,534986,534986,0.011049774507182766,0.011123673441766582,0.01122896719950546,0.011128119873187958,0.01117474391746398,False
8,0.01229677248641969,0.00017421064061988272,534949,534949,0.012151190606539575,0.012363726152032906,0.0124071522325718,0.012484652387739562,0.012077141053214613,True
9,0.010357986938253391,0.0001515942143739462,534954,534954,0.01056415068172989,0.010452924384437026,0.010290425309456688,0.01030668347963945,0.010175750836003902,False
10,0.00926241597482596,7.582587704148219e-05,534934,534934,0.009180451883957136,0.00933477774237794,0.009350769352430843,0.009231308860809945,0.009214772034553939,False
11,0.008382560938862884,8.471863194691229e-05,534938,534938,0.008433759920635817,0.008369639869698506,0.00823970787567313,0.008430067410167302,0.008439629618139668,False
12,0.007541692680884735,7.635286422628296e-05,534925,534925,0.0076287374949629005,0.00758671585825596,0.007523035199562503,0.00754387749217697,0.007426097359465339,False
